dataset,label,tp,fp,fn,tn,precision,recall,f1,fpr,day_recall,day_fpr,n_atk_days,det_atk_days,n_cln_days,fa_days
validation,validation,3931,885,1523,94097,0.8162375415282392,0.7207554088742207,0.7655306718597857,0.009317554905139922,0.9469026548672567,0.2987012987012987,113,107,154,46
site5_7.0kw_2016_2019_attack_sa_5pct,site5_7.0kw_2016_2019_attack_sa_5pct,3824,1543,1404,104054,0.7125023290478852,0.7314460596786534,0.7218499292118924,0.014612157542354422,0.7269372693726938,0.3036773428232503,271,197,843,256
site5_7.0kw_2016_2019_attack_sa_8pct,site5_7.0kw_2016_2019_attack_sa_8pct,4591,1548,637,104049,0.7478416680241081,0.8781560826319816,0.8077768980381808,0.014659507372368534,0.8339483394833949,0.3013048635824436,271,226,843,254
site5_7.0kw_2016_2019_attack_sa_10pct,site5_7.0kw_2016_2019_attack_sa_10pct,4768,1565,460,104032,0.7528817306174009,0.9120122417750574,0.8248421416832453,0.014820496794416507,0.8745387453874539,0.3001186239620403,271,237,843,253
site5_226.8kw_2016_2019_attack_sa_5pct,site5_226.8kw_2016_2019_attack_sa_5pct,4512,715,1402,117050,0.8632102544480582,0.762935407507609,0.8099811507046045,0.006071413408058422,0.7419354838709677,0.1700404858299595,310,230,988,168
site5_226.8kw_2016_2019_attack_sa_8pct,site5_226.8kw_2016_2019_attack_sa_8pct,5202,737,712,117028,0.8759050345175956,0.8796077105174163,0.8777524677296886,0.006258226128306373,0.8354838709677419,0.1700404858299595,310,259,988,168
site5_226.8kw_2016_2019_attack_sa_10pct,site5_226.8kw_2016_2019_attack_sa_10pct,5365,764,549,117001,0.8753467123511176,0.9071694284748055,0.890974009798223,0.006487496284974313,0.8612903225806452,0.1680161943319838,310,267,988,166
