gbm_weight,cat_weight,model,attack_ratio,precision,recall,f1,fpr,day_recall,day_fpr
0.0,1.0,catboost_depth7_only,5,0.8431763255433544,0.737419106401135,0.786365458663761,0.006959072004703699,0.702850851089156,0.16410568578577564
0.0,1.0,catboost_depth7_only,8,0.8619778754784119,0.8513095377017019,0.8559591296190072,0.0069391535939792495,0.793453160338055,0.16300649310108006
0.0,1.0,catboost_depth7_only,10,0.8656917406917407,0.8940881207534984,0.8789200476619738,0.00706096985211165,0.8402511605761218,0.16300649310108006
0.5,0.5,gbm0.50_cat0.50,5,0.8037291041886965,0.756366695913552,0.7772018558420544,0.009696921680982002,0.7335198190691584,0.22132854034895616
0.5,0.5,gbm0.50_cat0.50,8,0.8233108859616309,0.8848864779255015,0.850800345420875,0.009930420573710661,0.8374895845732651,0.22361397265405508
0.5,0.5,gbm0.50_cat0.50,10,0.8263385814095754,0.9129301420332597,0.8651914652125872,0.010027740848709932,0.8669979764313772,0.22141558728466387
0.45,0.55,gbm0.45_cat0.55,5,0.7905837107355227,0.7572067784120209,0.7712341470882141,0.010510411301249719,0.7505773122247352,0.23689133180610983
0.45,0.55,gbm0.45_cat0.55,8,0.8099165376049022,0.8728195179102458,0.8382449883152219,0.010663572893547099,0.8453219854779193,0.2369783787418176
0.45,0.55,gbm0.45_cat0.55,10,0.8136373953535714,0.9139362745643435,0.8588281995008372,0.010878463683036814,0.8748303773360315,0.23689133180610983
0.4,0.6,gbm0.40_cat0.60,5,0.8030316323285867,0.7574768765464905,0.7776412518492752,0.009715057552442813,0.7402035471967623,0.22138316980515896
0.4,0.6,gbm0.40_cat0.60,8,0.8225956231061247,0.8779572689291215,0.8478704098975511,0.00981564509236526,0.8365611236757529,0.22087709693066504
0.4,0.6,gbm0.40_cat0.60,10,0.8254597096755043,0.9103949519755103,0.8639346560522234,0.010000326437001572,0.8663016307582431,0.22087709693066504
0.35,0.65,gbm0.35_cat0.65,5,0.8014292357274264,0.7413777857528943,0.7688287979073465,0.00954084166010943,0.7376621830734437,0.21698639906637657
0.35,0.65,gbm0.35_cat0.65,8,0.8254123399074694,0.8749415558221786,0.8476890655312987,0.009616443977539295,0.8319545292227116,0.21757951887657823
0.35,0.65,gbm0.35_cat0.65,10,0.8294143762568917,0.9129909796085126,0.8673160593408096,0.009755400620832444,0.8665337459826211,0.2170734460020843
0.3,0.7,gbm0.30_cat0.70,5,0.8018253481934259,0.7448387678117283,0.7708811033937537,0.009548197258081894,0.7344363766218307,0.2179114978796567
0.3,0.7,gbm0.30_cat0.70,8,0.8250399341943812,0.8806022318366362,0.8501288083541504,0.009683239986499743,0.8457862159266754,0.2190106905643523
0.3,0.7,gbm0.30_cat0.70,10,0.8309002118946083,0.9293682219955035,0.8757397272305241,0.009781538740217841,0.8923521009403642,0.21672525825925337
