dataset,label,tp,fp,fn,tn,precision,recall,f1,fpr,day_recall,day_fpr,n_atk_days,det_atk_days,n_cln_days,fa_days
validation,validation,3905,639,1549,94343,0.859375,0.715988265493216,0.7811562312462492,0.0067275904908298415,0.9469026548672567,0.2597402597402597,113,107,154,40
site5_7.0kw_2016_2019_attack_sa_5pct,site5_7.0kw_2016_2019_attack_sa_5pct,3841,1261,1387,104336,0.7528420227361818,0.7346977811782709,0.7436592449177154,0.011941627129558605,0.7011070110701108,0.232502965599051,271,190,843,196
site5_7.0kw_2016_2019_attack_sa_8pct,site5_7.0kw_2016_2019_attack_sa_8pct,4491,1272,737,104325,0.7792816241540864,0.8590283091048202,0.8172140842507506,0.012045796755589647,0.8118081180811808,0.232502965599051,271,220,843,196
site5_7.0kw_2016_2019_attack_sa_10pct,site5_7.0kw_2016_2019_attack_sa_10pct,4736,1268,492,104329,0.7888074616922052,0.9058913542463657,0.8433048433048433,0.012007916891578358,0.8708487084870848,0.232502965599051,271,236,843,196
site5_226.8kw_2016_2019_attack_sa_5pct,site5_226.8kw_2016_2019_attack_sa_5pct,4494,520,1420,117245,0.8962903869166334,0.7598917822117011,0.8224743777452417,0.004415573387678852,0.7161290322580646,0.12955465587044535,310,222,988,128
site5_226.8kw_2016_2019_attack_sa_8pct,site5_226.8kw_2016_2019_attack_sa_8pct,5100,539,814,117226,0.9044156765383934,0.8623605005072709,0.882887561672293,0.00457691164607481,0.8096774193548387,0.12854251012145748,310,251,988,127
site5_226.8kw_2016_2019_attack_sa_10pct,site5_226.8kw_2016_2019_attack_sa_10pct,5224,560,690,117205,0.9031811894882434,0.8833276969901928,0.8931441272012309,0.0047552328790387635,0.8290322580645161,0.1305668016194332,310,257,988,129
