dataset,label,tp,fp,fn,tn,precision,recall,f1,fpr,day_recall,day_fpr,n_atk_days,det_atk_days,n_cln_days,fa_days
validation,validation,3853,515,1601,94467,0.8820970695970696,0.7064539787312064,0.7845652616575036,0.005422079973047525,0.9380530973451328,0.19480519480519481,113,106,154,30
site5_7.0kw_2016_2019_attack_sa_5pct,site5_7.0kw_2016_2019_attack_sa_5pct,3751,1042,1477,104555,0.7825996244523263,0.7174827850038256,0.7486278814489572,0.009867704574940576,0.6863468634686347,0.20877817319098457,271,186,843,176
site5_7.0kw_2016_2019_attack_sa_8pct,site5_7.0kw_2016_2019_attack_sa_8pct,4430,1036,798,104561,0.8104646908159532,0.8473603672532517,0.8285019637179726,0.009810884778923643,0.7933579335793358,0.20759193357058126,271,215,843,175
site5_7.0kw_2016_2019_attack_sa_10pct,site5_7.0kw_2016_2019_attack_sa_10pct,4689,1042,539,104555,0.8181818181818182,0.8969013006885999,0.8557350123186422,0.009867704574940576,0.8450184501845018,0.20759193357058126,271,229,843,175
site5_226.8kw_2016_2019_attack_sa_5pct,site5_226.8kw_2016_2019_attack_sa_5pct,4479,477,1435,117288,0.9037530266343826,0.7573554277984443,0.8241030358785648,0.004050439434466947,0.7193548387096774,0.1194331983805668,310,223,988,118
site5_226.8kw_2016_2019_attack_sa_8pct,site5_226.8kw_2016_2019_attack_sa_8pct,5058,479,856,117286,0.9134910601408706,0.8552587081501521,0.883416295520042,0.004067422409034942,0.7935483870967742,0.11842105263157894,310,246,988,117
site5_226.8kw_2016_2019_attack_sa_10pct,site5_226.8kw_2016_2019_attack_sa_10pct,5271,501,643,117264,0.9132016632016632,0.891274940818397,0.9021050830053056,0.004254235129282894,0.8354838709677419,0.11842105263157894,310,259,988,117
